ID,ndtv_tn_wordnet
0,"[['congress', 'feel', 0.8], ['bluff', 'leadership', 0.7058823529411765], ['alliance', 'party', 0.8333333333333334], ['party', 'party', 1.0], ['scheme', 'play', 0.8888888888888888], ['true', 'distribution', 0.7142857142857143], ['poverty', 'nomination', 0.7692307692307693], ['announce', 'name', 0.8571428571428571], ['resistance', 'protest', 0.9333333333333333], ['field', 'field', 1.0], ['calendar_month', 'calendar_month', 1.0], ['contest', 'function', 0.8333333333333334], ['name', 'list', 1.0], ['plan', 'play', 0.875], ['poll', 'polls', 1.0], ['cardsharp', 'party', 0.631578947368421], ['renege', 'distribution', 0.7142857142857143], ['reciprocate', 'capital', 0.4], ['generosity', 'distribution', 0.8571428571428571], ['tauten', 'capital', 0.3333333333333333], ['searching', 'feel', 0.6666666666666666], ['opposition', 'party', 0.9230769230769231], ['impression', 'capital', 0.8571428571428571], ['seating', 'seating', 1.0], ['underscore', 'raise', 0.8571428571428571], ['necktie', 'seat', 0.6666666666666666], ['chase_away', 'capital', 0.4], ['bird', 'polls', 0.9090909090909091], ['betray', 'direct', 0.7272727272727273], ['election', 'election', 1.0], ['team', 'member', 0.8571428571428571], ['govern', 'capital', 0.4], ['escalate', 'raise', 0.6666666666666666], ['gain', 'raise', 0.875], ['breath', 'recommendation', 0.7142857142857143], ['week', 'calendar_month', 0.8333333333333334], ['guarantee', 'capital', 0.625], ['sphere', 'field', 1.0], ['exclusive', 'list', 0.6666666666666666], ['chemical_reaction', 'demand', 0.5454545454545454], ['laborer', 'party', 0.631578947368421], ['economist', 'party', 0.6666666666666666], ['back', 'play', 0.8888888888888888], ['advice', 'recommendation', 0.9230769230769231], ['top', 'polls', 0.9523809523809523], ['head', 'direct', 1.0], ['difference', 'cardinal', 0.8333333333333334], ['former', 'leadership', 0.7142857142857143], ['insist', 'desire', 0.6666666666666666], ['aside', 'play', 0.7272727272727273], ['phase', 'state', 0.9333333333333333], ['leadership', 'leadership', 1.0], ['remove', 'distribution', 0.8], ['rival', 'party', 0.7058823529411765]]"
1,"[['maoist', 'maoist', 1.0], ['afforest', 'afforest', 1.0], ['commando', 'commando', 1.0], ['battalion', 'battalion', 1.0], ['rifle', 'rifle', 1.0], ['brush', 'comb', 0.9], ['deep', 'deep', 1.0], ['area', 'area', 1.0], ['kill', 'kill', 1.0], ['guerrilla', 'guerrilla', 1.0], ['specialize', 'specialize', 1.0], ['adept', 'maoist', 0.6666666666666666], ['tactics', 'tactics', 1.0], ['comb', 'comb', 1.0], ['jungle', 'jungle', 1.0], ['commando', 'commando', 1.0], ['uniform', 'uniform', 1.0], ['gunfight', 'battle', 0.875], ['gun', 'gun', 1.0], ['continue', 'continue', 1.0], ['reserve', 'modesty', 1.0], ['battle', 'battle', 1.0], ['interrupt', 'force', 0.7058823529411765], ['mission', 'mission', 1.0], ['recover', 'recover', 1.0], ['search', 'search', 1.0], ['body', 'body', 1.0], ['get_down', 'get_down', 1.0], ['action', 'action', 1.0], ['force', 'force', 1.0], ['morning', 'body', 0.6666666666666666], ['special', 'particular', 1.0], ['add', 'add', 1.0], ['official', 'official', 1.0], ['district', 'district', 1.0], ['cardinal', 'cardinal', 1.0], ['police', 'police', 1.0], ['election', 'action', 0.8571428571428571], ['election', 'action', 0.8571428571428571], ['update', 'specialize', 0.6666666666666666], ['today', 'state', 0.6], ['state', 'state', 1.0], ['agenda', 'tactics', 0.8235294117647058], ['chirrup', 'battle', 0.6153846153846154], ['seating', 'uniform', 0.75], ['general', 'particular', 0.8571428571428571], ['get', 'get_down', 1.0], ['news', 'body', 0.7272727272727273], ['live', 'maoist', 0.5], ['indian', 'maoist', 0.6666666666666666]]"
2,"[['campaigner', 'campaigner', 1.0], ['congress', 'conference', 0.8571428571428571], ['bihar', 'state', 0.9411764705882353], ['phase', 'phase', 1.0], ['march', 'march', 1.0], ['formula', 'agreement', 0.8333333333333334], ['second', 'second', 1.0], ['nomination', 'nomination', 1.0], ['file', 'file', 1.0], ['mohammed', 'national', 0.6666666666666666], ['date', 'date', 1.0], ['announce', 'show', 0.8], ['mononuclear_phagocyte_system', 'seat', 0.7692307692307693], ['sit', 'seat', 1.0], ['poll', 'poll', 1.0], ['join', 'march', 0.6666666666666666], ['name', 'people', 0.8888888888888888], ['ham', 'conduct', 0.6666666666666666], ['random-access_memory', 'seat', 0.7], ['polls', 'poll', 1.0], ['field', 'area', 1.0], ['ninth', 'second', 0.8571428571428571], ['jay', 'poll', 0.7692307692307693], ['resistance', 'security', 0.8888888888888888], ['campaigning', 'office', 0.7], ['last', 'last', 1.0], ['seating', 'seat', 1.0], ['very_important_person', 'national', 0.6666666666666666], ['let_go_of', 'let', 0.5], ['former', 'earlier', 1.0], ['state', 'state', 1.0], ['field', 'area', 1.0], ['constituency', 'constituency', 1.0], ['spouse', 'national', 0.7058823529411765], ['contend', 'show', 0.5454545454545454], ['party', 'party', 1.0], ['spokesman', 'national', 0.6666666666666666], ['field', 'area', 1.0], ['one-half', 'number', 0.625], ['unit_of_measurement', 'second', 0.8333333333333334], ['seat', 'seat', 1.0], ['campaigner', 'campaigner', 1.0], ['list', 'number', 1.0], ['april', 'march', 0.875], ['reporter', 'national', 0.7058823529411765], ['travel', 'travel', 1.0]]"
3,"[['approver', 'case', 0.7058823529411765], ['bend', 'turn', 1.0], ['court', 'court', 1.0], ['let', 'let', 1.0], ['case', 'case', 1.0], ['anchor', 'anchor', 1.0], ['allow', 'let', 1.0], ['bail', 'bail', 1.0], ['judge', 'judge', 1.0], ['medical', 'medical', 1.0], ['mister', 'particular', 0.5714285714285714], ['matrix', 'case', 0.8235294117647058], ['retention', 'collar', 0.7777777777777778], ['transcript', 'transcript', 1.0], ['expostulation', 'act', 0.8333333333333334], ['allege', 'alleged', 1.0], ['particular', 'particular', 1.0], ['statement', 'statement', 1.0], ['turn', 'act', 1.0], ['sheet', 'case', 0.9090909090909091], ['firm', 'agency', 0.875], ['proceeding', 'keep', 1.0], ['submit', 'turn', 0.7142857142857143], ['wash', 'drag', 0.8421052631578947], ['record', 'record', 1.0], ['directorate', 'directorate', 1.0], ['scam', 'scam', 1.0], ['enforcement', 'government', 0.875], ['hear', 'see', 1.0], ['director', 'case', 0.631578947368421], ['seek', 'seek', 1.0], ['name', 'government', 0.7368421052631579], ['report', 'act', 0.8], ['charge', 'send', 1.0], ['send', 'send', 1.0], ['money', 'money', 1.0], ['file', 'record', 0.9230769230769231], ['monday', 'week', 0.6666666666666666], ['accuse', 'act', 0.5], ['agency', 'agency', 1.0], ['crore', 'record', 0.7142857142857143], ['roentgen', 'case', 0.6666666666666666], ['state', 'government', 0.9333333333333333], ['election', 'command', 0.8333333333333334], ['election', 'command', 0.8333333333333334], ['delhi', 'dubai', 0.9], ['update', 'record', 0.7272727272727273], ['agenda', 'record', 0.875], ['chirrup', 'case', 0.7692307692307693], ['seating', 'help', 0.875], ['general', 'case', 0.8571428571428571], ['get', 'let', 1.0], ['news', 'influence', 0.7692307692307693], ['live', 'see', 0.8571428571428571], ['indian', 'case', 0.7058823529411765]]"
4,"[['scheme', 'scheme', 1.0], ['poverty', 'poverty', 1.0], ['gandhi', 'gandhi', 1.0], ['hapless', 'hapless', 1.0], ['guarantee', 'promise', 0.8888888888888888], ['income', 'income', 1.0], ['roentgen', 'party', 0.6666666666666666], ['family', 'family', 1.0], ['minimal', 'minimum', 1.0], ['analyze', 'hapless', 0.5], ['bank', 'bank', 1.0], ['crore', 'crore', 1.0], ['lift', 'release', 0.875], ['promise', 'promise', 1.0], ['assault', 'bluff', 0.6666666666666666], ['transfer', 'remove', 1.0], ['announce', 'give', 0.8333333333333334], ['history', 'power', 0.8], ['propose', 'state', 0.8888888888888888], ['concluding', 'implement', 0.5714285714285714], ['trash', 'announcement', 0.6666666666666666], ['ball', 'party', 0.875], ['headliner', 'party', 0.6666666666666666], ['state', 'state', 1.0], ['subsidy', 'subsidy', 1.0], ['fraudulence', 'bluff', 0.8571428571428571], ['bluff', 'bluff', 1.0], ['acronym', 'loan', 0.8], ['money', 'wealth', 0.9230769230769231], ['calendar_month', 'calendar_month', 1.0], ['year', 'time_period', 0.9090909090909091], ['calculation', 'release', 0.8], ['attract', 'get', 0.8571428571428571], ['conclave', 'congress', 0.8571428571428571], ['cosmopolitan', 'party', 0.6666666666666666], ['payment', 'payment', 1.0], ['gain', 'income', 0.875], ['dynamic', 'power', 0.5], ['guarantee', 'promise', 0.8888888888888888], ['fringy', 'fringy', 1.0], ['explain', 'betray', 0.8], ['remove', 'remove', 1.0], ['economist', 'party', 0.6666666666666666], ['calendar_month', 'calendar_month', 1.0], ['surprise', 'release', 0.8], ['fight', 'promise', 0.7058823529411765], ['manifesto', 'announcement', 0.7692307692307693], ['flat', 'bank', 0.8235294117647058], ['minutes', 'remove', 0.875], ['concept', 'scheme', 0.8], ['ask', 'give', 0.8421052631578947], ['implement', 'implement', 1.0], ['round', 'release', 0.7777777777777778], ['describe', 'write', 0.8571428571428571], ['get_down', 'get', 1.0], ['demonetization', 'release', 0.9], ['million', 'crore', 0.875], ['miss', 'party', 0.6666666666666666], ['attack', 'release', 0.8], ['promise', 'promise', 1.0]]"
5,"[['erectile_dysfunction', 'case', 0.625], ['wash', 'wash', 1.0], ['money', 'money', 1.0], ['list', 'list', 1.0], ['probe', 'probe', 1.0], ['court', 'court', 1.0], ['property', 'property', 1.0], ['supplication', 'supplication', 1.0], ['request', 'request', 1.0], ['hear', 'see', 1.0], ['seek', 'seek', 1.0], ['suppression', 'suppression', 1.0], ['maintainable', 'maintainable', 1.0], ['matter', 'matter', 1.0], ['pound', 'pound', 1.0], ['willful', 'willful', 1.0], ['associate', 'associate', 1.0], ['square', 'square', 1.0], ['expostulation', 'expostulation', 1.0], ['affidavit', 'affidavit', 1.0], ['solicitor', 'solicitor', 1.0], ['mistreat', 'associate', 0.5714285714285714], ['high', 'high', 1.0], ['unconstitutional', 'unconstitutional', 1.0], ['agency', 'agency', 1.0], ['agency', 'agency', 1.0], ['own', 'own', 1.0], ['look', 'look', 1.0], ['businessman', 'case', 0.6666666666666666], ['adjutant', 'general', 0.8148148148148148], ['case', 'case', 1.0], ['request', 'request', 1.0], ['answer', 'answer', 1.0], ['justice', 'justice', 1.0], ['purchase', 'purchase', 1.0], ['represent', 'represent', 1.0], ['seek', 'seek', 1.0], ['commissariat', 'commissariat', 1.0], ['allow', 'allow', 1.0], ['separate', 'separate', 1.0], ['prevention', 'prevention', 1.0], ['directorate', 'directorate', 1.0], ['enforcement', 'enforcement', 1.0], ['raise', 'raise', 1.0], ['question', 'question', 1.0], ['similar', 'similar', 1.0], ['bench', 'bench', 1.0], ['week', 'week', 1.0], ['deserving', 'deserving', 1.0], ['declare', 'declare', 1.0], ['allegation', 'answer', 0.75], ['seek', 'seek', 1.0], ['relief', 'relief', 1.0], ['procedure', 'procedure', 1.0], ['response', 'answer', 1.0], ['allegedly', 'allegedly', 1.0], ['close', 'near', 1.0], ['law', 'law', 1.0], ['act', 'represent', 1.0], ['monday', 'week', 0.6666666666666666], ['assorted', 'associate', 1.0], ['gandhi', 'gandhi', 1.0], ['state', 'justice', 0.9230769230769231], ['senior', 'senior', 1.0], ['ask', 'request', 0.9230769230769231], ['file', 'file', 1.0], ['congress', 'court', 0.8]]"
6,"[['girl', 'girl', 1.0], ['minor', 'minor', 1.0], ['hindu', 'hindu', 1.0], ['girl', 'girl', 1.0], ['kidnap', 'kidnap', 1.0], ['marriage', 'marriage', 1.0], ['abduction', 'upheaval', 0.8421052631578947], ['conversion', 'conversion', 1.0], ['kidnap', 'kidnap', 1.0], ['pakistan', 'pakistan', 1.0], ['protection', 'protection', 1.0], ['minority', 'minority', 1.0], ['state', 'state', 1.0], ['indignation', 'state', 0.75], ['marriage', 'marriage', 1.0], ['register', 'show', 1.0], ['act', 'order', 0.9411764705882353], ['coerce', 'coerce', 1.0], ['curate', 'curate', 1.0], ['order', 'order', 1.0], ['government', 'state', 0.9333333333333333], ['clear', 'district', 0.7692307692307693], ['case', 'action', 0.8888888888888888], ['community', 'community', 1.0], ['solemnize', 'solemnize', 1.0], ['report', 'report', 1.0], ['allegedly', 'allegedly', 1.0], ['travel', 'approach', 0.8888888888888888], ['bicker', 'promise', 0.7058823529411765], ['handout', 'resolution', 0.7692307692307693], ['information', 'report', 0.9090909090909091], ['bow', 'action', 0.8571428571428571], ['personal_business', 'concern', 0.9523809523809523], ['adolescent', 'adolescent', 1.0], ['provincial', 'man', 0.6666666666666666], ['islam', 'minority', 0.6666666666666666], ['estimate', 'report', 0.9333333333333333], ['allege', 'hindu', 0.3333333333333333], ['harmonize', 'report', 0.5454545454545454], ['marry', 'marry', 1.0], ['envoy', 'matter', 0.8], ['widen', 'raise', 0.6666666666666666], ['suspect', 'suspect', 1.0], ['official', 'man', 0.7058823529411765], ['minority', 'minority', 1.0], ['draft', 'raise', 0.9333333333333333], ['district', 'district', 1.0], ['implement', 'medium', 0.8571428571428571], ['settle', 'order', 0.75], ['hindu', 'hindu', 1.0], ['ban', 'order', 0.9473684210526315], ['establish', 'show', 1.0], ['engagement', 'action', 0.9333333333333333], ['belong', 'hindu', 0.5], ['hindi', 'hindu', 1.0]]"
7,"[['falsehood', 'falsehood', 1.0], ['counterfeit', 'counterfeit', 1.0], ['photocopy', 'print', 0.8888888888888888], ['caravan', 'caravan', 1.0], ['wise', 'signature', 0.8333333333333334], ['influence', 'asset', 0.7272727272727273], ['congress', 'congress', 1.0], ['manufacture', 'finance', 0.9], ['web_log', 'diary', 0.9230769230769231], ['counterfeit', 'counterfeit', 1.0], ['forge', 'counterfeit', 1.0], ['bachelor_of_science', 'mention', 0.75], ['politician', 'party', 0.7058823529411765], ['medium', 'medium', 1.0], ['voter', 'party', 0.6666666666666666], ['question', 'approach', 0.7692307692307693], ['sought', 'counterfeit', 0.5], ['falsehood', 'falsehood', 1.0], ['back', 'finance', 0.8888888888888888], ['party', 'party', 1.0], ['surface-to-air_missile', 'probe', 0.6956521739130435], ['achieve', 'beginning', 0.8], ['air', 'medium', 0.9333333333333333], ['action', 'resistance', 0.9333333333333333], ['purport', 'claim', 0.8], ['friday', 'turn', 0.5555555555555556], ['polls', 'top', 0.9523809523809523], ['attack', 'approach', 1.0], ['odds', 'asset', 0.6666666666666666], ['brass', 'sheet', 0.7692307692307693], ['entitle', 'name', 0.8571428571428571], ['detect', 'counterfeit', 0.3333333333333333], ['bribe', 'payment', 0.9411764705882353], ['manufacture', 'finance', 0.9], ['resistance', 'resistance', 1.0], ['strike', 'raid', 0.8421052631578947], ['pass', 'top', 1.0], ['stress', 'resistance', 0.7692307692307693], ['mention', 'mention', 1.0], ['accuse', 'counterfeit', 0.5], ['remark', 'mention', 1.0], ['daily', 'sheet', 0.9090909090909091], ['submit', 'state', 1.0], ['confront', 'approach', 0.8], ['document', 'document', 1.0], ['look', 'checked', 0.8], ['fact', 'detail', 0.9230769230769231], ['write', 'print', 0.8888888888888888], ['make', 'name', 1.0], ['claim', 'claim', 1.0], ['question', 'approach', 0.7692307692307693], ['administration', 'justice', 0.9333333333333333], ['low', 'low', 1.0], ['ready', 'state', 0.8], ['necessitate', 'claim', 0.6666666666666666], ['footing', 'state', 0.8], ['supply', 'procure', 0.8571428571428571], ['curate', 'curate', 1.0], ['tax', 'tax', 1.0], ['poll', 'top', 0.9523809523809523], ['pass', 'top', 1.0], ['pay', 'payment', 0.8888888888888888], ['allegation', 'claim', 0.9411764705882353], ['establish', 'name', 0.8888888888888888], ['report', 'report', 1.0], ['department', 'department', 1.0], ['head', 'beginning', 0.9230769230769231], ['terrorist', 'party', 0.7058823529411765], ['finance', 'finance', 1.0], ['panic', 'state', 0.75]]"
8,"[['campaigner', 'campaigner', 1.0], ['phase', 'phase', 1.0], ['congress', 'union', 0.8571428571428571], ['flush', 'travel', 0.875], ['poll', 'polls', 1.0], ['announce', 'announce', 1.0], ['second', 'third', 0.9], ['seating', 'seating', 1.0], ['phase', 'phase', 1.0], ['field', 'field', 1.0], ['reporter', 'party', 0.7058823529411765], ['ham', 'party', 0.6666666666666666], ['random-access_memory', 'release', 0.7368421052631579], ['field', 'field', 1.0], ['jay', 'polls', 0.7692307692307693], ['resistance', 'release', 0.8235294117647058], ['campaigner', 'campaigner', 1.0], ['very_important_person', 'party', 0.6666666666666666], ['committee', 'committee', 1.0], ['alias', 'form', 0.7142857142857143], ['nomination', 'election', 0.7777777777777778], ['meet', 'contest', 0.8571428571428571], ['contest', 'contest', 1.0], ['held', 'include', 0.8], ['filing', 'list', 0.8333333333333334], ['state', 'phase', 0.9333333333333333], ['field', 'field', 1.0], ['centimeter', 'count', 0.5714285714285714], ['date', 'party', 0.8], ['mononuclear_phagocyte_system', 'party', 0.3333333333333333], ['sit', 'seating', 1.0], ['election', 'election', 1.0], ['spokesman', 'party', 0.6666666666666666], ['announcement', 'release', 0.9230769230769231], ['contest', 'contest', 1.0], ['one-half', 'third', 0.9090909090909091], ['travel', 'travel', 1.0], ['unit_of_measurement', 'count', 0.7272727272727273], ['mister', 'form', 0.625], ['list', 'list', 1.0], ['name', 'list', 1.0], ['april', 'phase', 0.7142857142857143], ['alliance', 'party', 0.8333333333333334], ['party', 'party', 1.0], ['travel', 'travel', 1.0], ['put', 'seating', 0.8], ['imperativeness', 'pass', 0.5882352941176471], ['present', 'represent', 1.0], ['election', 'election', 1.0], ['sunday', 'curate', 0.8333333333333334], ['march', 'travel', 0.9]]"
9,"[['pakistan', 'state', 0.8888888888888888], ['critically', 'critically', 1.0], ['misdemeanor', 'misdemeanor', 1.0], ['violate', 'profaned', 1.0], ['misdemeanor', 'misdemeanor', 1.0], ['open_fire', 'open_fire', 1.0], ['military_personnel', 'force', 0.9230769230769231], ['kill', 'kill', 1.0], ['pakistani', 'pakistani', 1.0], ['week', 'life', 0.8333333333333334], ['sector', 'sector', 1.0], ['times', 'life', 0.9333333333333333], ['waker', 'waker', 1.0], ['attachment', 'line', 0.875], ['jet', 'jet', 1.0], ['injure', 'injured', 1.0], ['rifleman', 'jawan', 0.9230769230769231], ['army', 'army', 1.0], ['restraint', 'control', 1.0], ['yield', 'transport', 0.8181818181818182], ['treaty', 'report', 0.75], ['paul', 'night', 0.8], ['blast', 'blast', 1.0], ['treat', 'incident', 0.8333333333333334], ['repeat', 'air', 0.8333333333333334], ['jawan', 'indian', 0.9523809523809523], ['today', 'night', 0.7272727272727273], ['resident', 'resident', 1.0], ['injury', 'injury', 1.0], ['flag', 'cross', 0.8888888888888888], ['continue', 'cross', 0.8], ['continued', 'cross', 0.8], ['agreement', 'report', 0.8], ['camp', 'camp', 1.0], ['strike', 'strike', 1.0], ['side', 'side', 1.0], ['witness', 'cross', 0.8], ['first', 'transport', 0.8421052631578947], ['name', 'line', 0.875], ['meeting', 'camp', 0.8333333333333334], ['high', 'target', 0.8571428571428571], ['late', 'recently', 1.0], ['input_signal', 'flare', 0.7272727272727273], ['response', 'control', 0.8333333333333334], ['line', 'line', 1.0], ['boundary_line', 'boundary_line', 1.0], ['lose', 'lose', 1.0], ['panic', 'panic', 1.0], ['control', 'control', 1.0], ['life', 'life', 1.0], ['night', 'night', 1.0], ['force', 'force', 1.0], ['air', 'line', 1.0], ['till', 'mortar', 0.7368421052631579], ['die', 'line', 0.7142857142857143], ['beginning', 'attack', 0.9473684210526315], ['attack', 'blast', 1.0], ['week', 'life', 0.8333333333333334], ['kashmir', 'kashmir', 1.0], ['number', 'record', 0.9090909090909091], ['area', 'area', 1.0]]"
