dd_synsets,times_synsets,scores
"['campaigner', 'liter', 'list', 'delhi', 'ninth', 'campaigner', 'election', 'party', 'capital', 'cardinal', 'ninth', 'campaigner', 'ninth', 'list', 'ninth', 'ninth', 'ninth', 'national', 'capital', 'list', 'polls', 'polls', 'election', 'list', 'election', 'liter', 'election', 'list', 'list', 'election', 'election', 'election', 'phase', 'ninth', 'list', 'leadership', 'ninth', 'ninth', 'ninth', 'ninth', 'list', 'constituency', 'ninth', 'ninth', 'new', 'ninth', 'ninth', 'list', 'ninth', 'ninth', 'decide', 'constituency', 'election', 'ninth', 'list', 'assam', 'polls', 'campaigner', 'list', 'election', 'list', 'election', 'capital', 'committee', 'cardinal', 'delhi', 'phase', 'polls', 'ninth', 'campaigner', 'ninth', 'campaigner', 'election']","['celebrity', 'unit_of_measurement', 'list', 'delhi', 'field', 'campaigner', 'leadership', 'party', 'capital', 'cardinal', 'direct', 'worker', 'rework', 'reportedly', 'object', 'quote', 'shortlist', 'national', 'seating', 'proactive', 'object', 'polls', 'expostulation', 'ticket', 'feature', 'coordinate', 'runup', 'general', 'recommendation', 'distribution', 'election', 'nomination', 'monday', 'state', 'ticket', 'leadership', 'feel', 'join', 'protest', 'raise', 'dedicated', 'precedence', 'poll', 'play', 'new', 'submit', 'desire', 'representational', 'demand', 'mention', 'elect', 'administration', 'protest', 'join', 'fresh', 'seat', 'land', 'campaigner', 'able', 'poll', 'possible', 'function', 'name', 'committee', 'cardinal', 'city', 'calendar_month', 'beginning', 'travel', 'secretary', 'expect', 'member', 'election']","[0.14, 0.25, 1.0, 1.0, 0.2, 1.0, 0.17, 1.0, 1.0, 1.0, 0.09, 0.2, 0.17, 0.1, 0.17, 0.11, 0.17, 1.0, 0.14, 0.97, 0.2, 1.0, 0.17, 0.1, 0.09, 0.14, 0.12, 0.6, 0.14, 0.11, 1.0, 0.11, 0.17, 0.25, 0.1, 1.0, 0.33, 0.33, 0.25, 0.2, 0.8, 0.1, 0.2, 0.25, 1.0, 0.17, 0.33, 0.47, 0.12, 0.17, 0.33, 0.33, 0.14, 0.33, 0.67, 0.12, 0.17, 1.0, 0.33, 0.08, 0.18, 0.12, 0.14, 1.0, 1.0, 0.5, 0.33, 0.25, 0.33, 0.2, 0.2, 0.14, 1.0]"
"['commando', 'unit_of_measurement', 'meet', 'rifle', 'rifle', 'meet', 'area', 'operations', 'kill', 'commando', 'area', 'commando', 'meet', 'kilometer', 'cobra', 'operations', 'position', 'meet', 'meet', 'battalion', 'meet', 'group', 'take', 'police', 'station', 'meet', 'get_down', 'recover', 'action', 'force', 'meet', 'meet', 'meet', 'district', 'police', 'state', 'add']","['maoist', 'unit_of_measurement', 'afforest', 'rifle', 'gun', 'deep', 'area', 'battle', 'kill', 'guerrilla', 'jungle', 'commando', 'specialize', 'kilometer', 'cobra', 'war', 'tactics', 'comb', 'uniform', 'battalion', 'paramilitary', 'modesty', 'continue', 'mission', 'body', 'search', 'get_down', 'recover', 'action', 'force', 'particular', 'official', 'cardinal', 'district', 'police', 'state', 'add']","[0.14, 1.0, 0.17, 1.0, 0.33, 0.31, 1.0, 0.2, 1.0, 0.14, 0.25, 1.0, 0.25, 1.0, 1.0, 0.2, 0.11, 0.2, 0.98, 1.0, 0.53, 0.14, 0.33, 0.2, 0.17, 0.33, 1.0, 1.0, 1.0, 1.0, 0.06, 0.65, 0.39, 1.0, 1.0, 1.0, 1.0]"
"['nomination', 'state', 'deadline', 'seat', 'spread', 'deadline', 'file', 'phase', 'march', 'travel', 'district', 'spread', 'phase', 'date', 'campaigner', 'constituency', 'deadline', 'spread', 'campaigner', 'election', 'file', 'campaigner', 'campaigner', 'second', 'deadline', 'district', 'phase', 'district', 'phase', 'nomination', 'election', 'deadline', 'district', 'constituency', 'spread', 'phase', 'campaigner', 'constituency', 'campaigner', 'spread', 'election', 'spread', 'spread', 'last', 'phase', 'nomination', 'spread', 'campaigner', 'phase', 'district', 'spread', 'campaigner', 'election', 'constituency', 'travel', 'take', 'spread', 'polls', 'election', 'phase', 'seating', 'monday', 'spread', 'spread', 'deadline', 'union', 'election', 'phase', 'spread', 'phase', 'union', 'constituency']","['nomination', 'north_carolina', 'document', 'seat', 'let', 'file', 'file', 'maximal', 'march', 'return', 'vehicle', 'poll', 'phase', 'date', 'campaigner', 'constituency', 'gaudery', 'barricade', 'military_officer', 'reelection', 'file', 'commissioner', 'president', 'second', 'number', 'office', 'esteemed', 'area', 'indecent', 'nomination', 'election', 'guideline', 'venue', 'leadership', 'prevent', 'complex', 'supporter', 'stations', 'voter', 'spread', 'agreement', 'attach_to', 'show', 'last', 'inside', 'vote', 'conduct', 'son', 'entire', 'district', 'seek', 'deputy', 'incident', 'conference', 'travel', 'publish', 'put', 'polls', 'election', 'general', 'part', 'monday', 'state', 'keep', 'security', 'police', 'time', 'national', 'include', 'earlier', 'party', 'people']","[1.0, 0.33, 0.12, 1.0, 0.33, 0.11, 1.0, 0.35, 1.0, 0.5, 0.11, 0.2, 1.0, 1.0, 1.0, 1.0, 0.11, 0.17, 0.12, 0.5, 1.0, 0.17, 0.12, 1.0, 0.11, 0.1, 0.0, 0.33, 0.9, 1.0, 1.0, 0.11, 0.2, 0.33, 0.33, 0.32, 0.17, 0.12, 0.14, 1.0, 0.09, 0.33, 0.25, 1.0, 0.53, 0.2, 0.2, 0.14, 0.99, 1.0, 0.25, 0.12, 0.17, 0.17, 1.0, 0.12, 0.25, 1.0, 1.0, 0.99, 0.2, 1.0, 0.25, 0.33, 0.11, 0.25, 0.14, 0.92, 0.33, 0.62, 0.33, 0.2]"
"['expostulation', 'expostulation', 'jobber', 'case', 'expostulation', 'approver', 'let', 'bail', 'particular', 'judge', 'let', 'bail', 'approver', 'let', 'court', 'forgiveness', 'expostulation', 'perusal', 'let', 'approver', 'approver', 'turn', 'judge', 'information', 'let', 'approver', 'sheet', 'expostulation', 'come', 'let', 'bail', 'information', 'let', 'sheet', 'development', 'agency', 'approver', 'condition', 'report', 'let', 'let', 'unwrap', 'let', 'approver', 'condition', 'enforcement', 'turn', 'expostulation', 'let', 'directorate', 'allow', 'agency', 'file', 'allow', 'medical', 'allow', 'supplication', 'agency', 'let', 'expostulation', 'enforcement', 'approver', 'approver', 'submit', 'approver', 'approver', 'monday', 'let', 'money', 'approver', 'let', 'approver', 'monday']","['chop', 'scam', 'jobber', 'case', 'application', 'structure', 'act', 'bail', 'particular', 'judge', 'unravel', 'kickback', 'large', 'let', 'court', 'forgiveness', 'cahoot', 'probe', 'see', 'minimal', 'beneficiary', 'turn', 'bureaucrat', 'transcript', 'extradite', 'alleged', 'emirate', 'chop', 'drag', 'analyze', 'payment', 'statement', 'back', 'dubai', 'development', 'agency', 'resident', 'influence', 'contract', 'anchor', 'keep', 'oppose', 'help', 'lawyer', 'favor', 'proceeding', 'turn', 'command', 'see', 'directorate', 'allow', 'agency', 'record', 'supply', 'medical', 'supply', 'supplication', 'government', 'hear', 'function', 'deal', 'global', 'united', 'send', 'representative', 'cardinal', 'week', 'collar', 'money', 'air', 'seek', 'important', 'night']","[0.14, 0.1, 1.0, 1.0, 0.17, 0.12, 0.33, 1.0, 1.0, 1.0, 0.17, 0.11, 0.77, 1.0, 1.0, 1.0, 0.14, 0.12, 0.17, 0.75, 0.79, 1.0, 0.33, 0.12, 0.2, 0.96, 0.14, 0.14, 0.2, 0.33, 0.14, 0.33, 0.11, 0.12, 1.0, 1.0, 0.2, 0.17, 0.2, 0.17, 0.33, 0.12, 0.25, 0.17, 0.17, 0.2, 1.0, 0.2, 0.17, 1.0, 1.0, 1.0, 0.33, 0.33, 1.0, 0.33, 1.0, 0.17, 0.25, 0.14, 0.2, 0.71, 0.13, 0.33, 0.79, 0.49, 0.17, 0.2, 1.0, 0.11, 0.25, 0.35, 0.17]"
"['poverty', 'roentgen', 'politics', 'congress', 'bluff', 'crore', 'promise', 'promise', 'politics', 'politics', 'give', 'party', 'year', 'release', 'politics', 'promise', 'promise', 'roentgen', 'politics', 'remove', 'politics', 'farmer', 'give', 'roentgen', 'give', 'year', 'roentgen', 'party', 'roentgen', 'people', 'poverty', 'roentgen', 'people', 'roentgen', 'farmer', 'history', 'party', 'roentgen', 'roentgen', 'farmer', 'state', 'people', 'people', 'state', 'promise', 'promise', 'old_age', 'curate', 'roentgen', 'state', 'promise', 'give', 'roentgen', 'people', 'year', 'history', 'farmer', 'roentgen', 'bluff', 'bluff', 'politics', 'roentgen', 'farmer']","['poverty', 'hapless', 'income', 'congress', 'bluff', 'crore', 'announcement', 'motto', 'subsidy', 'payment', 'give', 'party', 'minimum', 'release', 'bequest', 'redistribution', 'motto', 'even', 'resource', 'remove', 'loan', 'gandhi', 'betray', 'fringy', 'cook', 'calendar_month', 'arithmetical', 'government', 'legendary', 'scheme', 'wealth', 'hapless', 'economics', 'much', 'farmer', 'power', 'family', 'simple', 'basic', 'implement', 'promise', 'electricity', 'gas', 'state', 'get', 'promise', 'old_age', 'curate', 'small', 'promise', 'election', 'write', 'significant', 'scheme', 'time_period', 'today', 'president', 'large', 'karnataka', 'bank', 'wage', 'extra', 'indian']","[1.0, 0.85, 0.11, 1.0, 1.0, 1.0, 0.2, 0.12, 0.1, 0.12, 1.0, 1.0, 0.14, 1.0, 0.14, 0.2, 0.12, 0.73, 0.17, 1.0, 0.14, 0.14, 0.11, 0.25, 0.2, 0.33, 0.51, 0.25, 0.31, 0.1, 0.33, 0.67, 0.09, 0.11, 1.0, 0.17, 0.25, 0.12, 0.8, 0.11, 0.33, 0.1, 0.09, 1.0, 0.09, 1.0, 1.0, 1.0, 0.45, 0.33, 0.17, 0.2, 0.68, 0.1, 0.5, 0.2, 0.11, 0.47, 0.08, 0.14, 0.1, 0.28, 0.2]"
"['willful', 'repress', 'robert', 'money', 'request', 'request', 'case', 'supplication', 'seek', 'suppression', 'maintainable', 'seek', 'probe', 'bench', 'willful', 'week', 'request', 'willful', 'affidavit', 'maltreatment', 'solicitor', 'request', 'expostulation', 'repress', 'willful', 'expostulation', 'agency', 'list', 'look', 'court', 'willful', 'seek', 'centre', 'suppression', 'state', 'separate', 'justice', 'state', 'enforcement', 'expostulation', 'similar', 'directorate', 'allow', 'president', 'week', 'gandhi', 'raise', 'willful', 'willful', 'bench', 'state', 'repress', 'relief', 'procedure', 'willful', 'response', 'repress', 'repress', 'law', 'affidavit', 'matter', 'file', 'repress', 'high', 'centre', 'gandhi', 'general', 'repress']","['wash', 'repress', 'robert', 'money', 'property', 'request', 'case', 'supplication', 'seek', 'suppression', 'maintainable', 'seek', 'probe', 'explosive_detection_system', 'willful', 'pound', 'square', 'associate', 'affidavit', 'maltreatment', 'solicitor', 'request', 'expostulation', 'unconstitutional', 'own', 'purchase', 'agency', 'list', 'look', 'court', 'represent', 'seek', 'delhi', 'commissariat', 'recommend', 'separate', 'justice', 'answer', 'enforcement', 'prevention', 'similar', 'directorate', 'allow', 'president', 'week', 'gandhi', 'raise', 'see', 'question', 'bench', 'declare', 'deserving', 'relief', 'procedure', 'hear', 'response', 'allegedly', 'near', 'law', 'act', 'matter', 'file', 'assorted', 'high', 'centre', 'gandhi', 'general', 'senior']","[0.2, 1.0, 1.0, 1.0, 0.14, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.14, 1.0, 0.11, 0.08, 0.25, 1.0, 1.0, 1.0, 1.0, 1.0, 0.92, 0.33, 0.17, 1.0, 1.0, 1.0, 1.0, 0.25, 1.0, 0.14, 0.11, 0.25, 1.0, 1.0, 0.5, 1.0, 0.2, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.17, 0.08, 1.0, 0.5, 0.28, 1.0, 1.0, 0.25, 1.0, 0.53, 0.15, 1.0, 0.33, 1.0, 1.0, 0.83, 1.0, 1.0, 1.0, 1.0, 0.88]"
"['girl', 'girl', 'state', 'pakistan', 'incident', 'girl', 'pakistan', 'jitteriness', 'allegedly', 'jitteriness', 'kidnap', 'personal_business', 'stern', 'girl', 'incident', 'district', 'community', 'khan', 'incident', 'khan', 'action', 'incident', 'girl', 'tweet', 'curate', 'girl', 'conversion', 'phase', 'report', 'kidnap', 'incident', 'meanwhile', 'incident', 'convert', 'incident', 'minority', 'incident', 'kidnap', 'incident', 'girl', 'ask', 'district', 'community', 'incident', 'information', 'phase', 'report', 'internal', 'incident', 'incident', 'religious', 'incident', 'incident', 'action', 'raise', 'incident', 'girl', 'state', 'personal_business', 'girl', 'action', 'girl', 'action', 'girl', 'incident', 'incident', 'minority', 'stern', 'state', 'incident', 'district', 'curate', 'incident', 'girl', 'minority']","['girl', 'hindu', 'state', 'pakistan', 'coerce', 'minor', 'pakistan', 'marriage', 'allegedly', 'marriage', 'collar', 'matter', 'medium', 'man', 'solemnize', 'punjab', 'community', 'adolescent', 'tag', 'suppression', 'presentation', 'incident', 'verbal', 'upheaval', 'lawgiver', 'forcefully', 'conversion', 'calendar_month', 'report', 'kidnap', 'perform', 'meanwhile', 'marry', 'convert', 'help', 'minority', 'shock', 'kidnap', 'surface', 'austere', 'quote', 'district', 'court', 'approach', 'return', 'festival', 'resolution', 'internal', 'show', 'react', 'religious', 'prosecute', 'help', 'action', 'raise', 'suspect', 'effective', 'promise', 'concern', 'responsible', 'measure', 'particularly', 'protection', 'representational', 'demand', 'confront', 'work_force', 'television', 'town', 'transport', 'residence', 'curate', 'order', 'about', 'group']","[1.0, 0.45, 1.0, 1.0, 0.2, 0.9, 1.0, 0.11, 1.0, 0.11, 0.2, 0.33, 0.14, 0.25, 0.25, 0.25, 1.0, 0.2, 0.2, 0.11, 0.14, 1.0, 0.73, 0.12, 0.2, 0.51, 1.0, 0.33, 1.0, 1.0, 0.33, 1.0, 0.2, 1.0, 0.25, 1.0, 0.17, 1.0, 0.2, 0.81, 0.17, 1.0, 0.25, 0.2, 0.08, 0.33, 0.33, 1.0, 0.25, 0.25, 1.0, 0.25, 0.25, 1.0, 1.0, 0.14, 0.25, 0.33, 0.5, 0.55, 0.17, 0.2, 0.25, 0.97, 0.12, 0.2, 0.2, 0.1, 0.25, 0.25, 0.14, 1.0, 0.1, 0.61, 0.33]"
"['mention', 'dynast', 'congress', 'family', 'dynast', 'coevals', 'mention', 'post', 'dynast', 'coevals', 'current', 'post', 'current', 'coevals', 'incentive', 'post', 'current', 'coevals', 'coevals', 'current', 'party', 'dynast', 'current', 'current', 'mention', 'curate', 'get', 'coevals', 'dynast', 'dynast', 'coevals', 'take', 'current', 'dynast', 'current', 'current', 'coevals', 'finance', 'dynast', 'dynast', 'take', 'incentive', 'dynast', 'charisma', 'coevals', 'dynast', 'coevals', 'take', 'dynast', 'dynast', 'current', 'dynast', 'coevals', 'current', 'dynast', 'charisma', 'assurance', 'dynast', 'coevals', 'coevals', 'current', 'coevals', 'dynast', 'dynast', 'hit', 'victory', 'current', 'dynast', 'coevals', 'dynast']","['falsehood', 'counterfeit', 'congress', 'department', 'low', 'document', 'information', 'sheet', 'loose', 'report', 'approach', 'karnataka', 'forge', 'norm', 'probe', 'beginning', 'claim', 'income', 'tax', 'slam', 'party', 'medium', 'mention', 'state', 'name_calling', 'curate', 'procure', 'diary', 'conservative', 'atrocious', 'roentgen', 'rebuff', 'raid', 'malicious', 'liberalize', 'discard', 'caravan', 'finance', 'thief', 'doubtful', 'detail', 'habit', 'wholly', 'justice', 'signature', 'paving', 'note', 'unwrap', 'top', 'loyalist', 'verify', 'reporter', 'print', 'turn', 'checked', 'asset', 'matter', 'magazine', 'entry', 'transcript', 'name', 'tax', 'earlier', 'new', 'resistance', 'possession', 'range', 'official', 'payment', 'forensic']","[0.25, 0.08, 1.0, 0.2, 0.22, 0.12, 0.2, 0.14, 0.65, 0.11, 0.2, 0.11, 0.14, 0.12, 0.09, 0.25, 0.25, 0.09, 0.1, 0.25, 1.0, 0.11, 0.17, 0.25, 0.12, 1.0, 0.33, 0.12, 0.26, 0.06, 0.1, 0.17, 0.2, 0.98, 0.25, 0.25, 0.17, 1.0, 0.12, 0.16, 0.11, 0.12, 0.39, 0.14, 0.11, 0.12, 0.1, 0.14, 0.54, 0.17, 0.25, 0.2, 0.14, 0.25, 0.97, 0.2, 0.14, 0.08, 0.1, 0.1, 0.2, 0.1, 0.55, 0.87, 0.2, 0.12, 0.25, 0.17, 0.1, 0.06]"
"['list', 'campaigner', 'party', 'desire', 'election', 'temperature', 'list', 'union', 'release', 'desire', 'campaigner', 'leader', 'polls', 'continue', 'temperature', 'campaigner', 'union', 'election', 'rise', 'desire', 'curate', 'field', 'campaigner', 'union', 'campaigner', 'curate', 'desire', 'desire', 'field', 'leader', 'appoint', 'campaigner', 'contest', 'campaigner', 'desire', 'continue', 'desire', 'leader', 'desire', 'president', 'leader', 'desire', 'desire', 'campaigner', 'temperature', 'leader']","['list', 'campaigner', 'party', 'include', 'election', 'seating', 'name_calling', 'constituency', 'release', 'nominate', 'third', 'shah', 'polls', 'announce', 'phase', 'campaigner', 'union', 'debacle', 'travel', 'preside', 'curate', 'field', 'absolute', 'committee', 'premier', 'curate', 'procure', 'represent', 'field', 'irani', 'phase', 'national', 'contest', 'first', 'win', 'confront', 'count', 'veteran', 'pull_off', 'president', 'saffron', 'pass', 'form', 'accompanied', 'majority', 'ani']","[1.0, 1.0, 1.0, 0.33, 1.0, 0.12, 0.12, 0.2, 1.0, 0.17, 0.46, 0.2, 1.0, 0.17, 0.25, 1.0, 1.0, 0.14, 0.5, 0.25, 1.0, 1.0, 0.31, 0.2, 0.97, 1.0, 0.2, 0.25, 1.0, 0.2, 0.2, 0.66, 1.0, 0.42, 0.33, 0.25, 0.25, 0.17, 0.25, 1.0, 0.11, 0.25, 0.25, 0.79, 0.14, 0.1]"
"['line', 'open_fire', 'violate', 'martyr', 'misdemeanor', 'jawan', 'jawan', 'martyr', 'district', 'district', 'jawan', 'district', 'misdemeanor', 'violate', 'violate', 'district', 'martyr', 'control', 'jawan', 'martyr', 'control', 'violate', 'martyr', 'district', 'misdemeanor', 'district', 'fall_back', 'martyr', 'violate', 'martyr', 'martyr', 'violate', 'district', 'take', 'take', 'misdemeanor', 'line', 'jawan', 'martyr', 'control', 'violate', 'martyr', 'martyr', 'violate', 'misdemeanor', 'jawan', 'violate', 'control', 'martyr', 'line', 'district', 'violate', 'district', 'line', 'district', 'control', 'line', 'line', 'line', 'area', 'line', 'misdemeanor', 'line', 'control', 'take', 'line', 'line', 'martyr', 'line']","['army', 'open_fire', 'blast', 'motiveless', 'misdemeanor', 'pakistani', 'civilian', 'martyr', 'kashmir', 'side', 'waker', 'boundary_line', 'jet', 'flare', 'lose', 'mortar', 'injured', 'life', 'ani', 'kill', 'tension', 'twin', 'critically', 'cross', 'misdemeanor', 'district', 'fall_back', 'resident', 'expect', 'profaned', 'civilian', 'switch', 'camp', 'warn', 'train', 'strike', 'target', 'jawan', 'indian', 'injury', 'parade', 'particularly', 'representational', 'record', 'incident', 'terrorist', 'transport', 'sector', 'recently', 'line', 'district', 'control', 'hospital', 'details', 'air', 'panic', 'night', 'force', 'state', 'area', 'calendar_month', 'attack', 'march', 'force', 'report', 'image', 'thursday', 'several', 'news']","[0.11, 1.0, 0.17, 0.6, 1.0, 0.25, 0.12, 1.0, 0.25, 0.2, 0.11, 0.14, 0.08, 0.17, 0.33, 0.08, 0.87, 0.14, 0.08, 0.5, 0.1, 0.2, 0.37, 0.12, 1.0, 1.0, 1.0, 0.64, 0.33, 0.41, 0.6, 0.25, 0.09, 0.17, 0.14, 0.08, 0.1, 1.0, 0.67, 0.1, 0.17, 0.38, 0.41, 0.17, 0.11, 0.14, 0.25, 0.12, 0.97, 1.0, 1.0, 0.33, 0.1, 0.11, 0.11, 0.11, 0.11, 0.14, 0.11, 1.0, 0.11, 0.14, 0.09, 0.25, 0.17, 0.1, 0.08, 0.46, 0.11]"
